File : 		4.7_1_1
UID : 		394804000a4ffa

Setting
Strip Type : 		customise
Current Range : 		20.0		uA
Sweep Rate : 		0.05		Vps
Step size : 		5		mV
Step time : 		100		ms
V Start : 		-0.8		V
V Mid : 		0.5		V
V End : 		-0.8		V
Loop : 		3
Next time to scan : 		5

Offset
index 	 I (uA) 	 HEX 
0	-800	-245
1	-758	-243
2	-716	-242
3	-674	-241
4	-632	-241
5	-590	-240
6	-548	-240
7	-506	-240
8	-465	-239
9	-423	-239
10	-381	-239
11	-339	-238
12	-297	-239
13	-255	-239
14	-213	-239
15	-171	-239
16	-129	-239
17	-87	-239
18	-45	-238
19	-3	-238
20	39	-243
21	81	-247
22	123	-250
23	165	-254
24	206	-257
25	248	-260
26	290	-264
27	332	-267
28	374	-271
29	416	-1297
30	458	-1365
31	500	-4322

Conversion
index 	 sampling time(ms) 	 V (mV) 	 I(uA) 	 HEX 
0	0	-800	-5.5252	889
1	100	-795	-5.3790	859
2	200	-790	-5.2134	825
3	300	-785	-5.0428	791
4	400	-780	-4.9113	764
5	500	-775	-4.7359	728
6	600	-770	-4.6190	704
7	700	-765	-4.4679	674
8	800	-760	-4.3510	650
9	900	-755	-4.2146	622
10	1000	-750	-4.0830	595
11	1100	-745	-3.9807	574
12	1200	-740	-3.8491	547
13	1300	-735	-3.6981	517
14	1400	-730	-3.5812	493
15	1500	-725	-3.4642	469
16	1600	-720	-3.3765	451
17	1700	-715	-3.2791	431
18	1800	-710	-3.1914	413
19	1900	-705	-3.1037	395
20	2000	-700	-3.0501	384
21	2100	-695	-2.9478	363
22	2200	-690	-2.8649	347
23	2300	-685	-2.7772	329
24	2400	-680	-2.7090	315
25	2500	-675	-2.6310	299
26	2600	-670	-2.5628	285
27	2700	-665	-2.4946	271
28	2800	-660	-2.4264	257
29	2900	-655	-2.3631	244
30	3000	-650	-2.3046	232
31	3100	-645	-2.2510	221
32	3200	-640	-2.1925	209
33	3300	-635	-2.1438	199
34	3400	-630	-2.0854	187
35	3500	-625	-2.0220	174
36	3600	-620	-1.9782	165
37	3700	-615	-1.9392	157
38	3800	-610	-1.9489	160
39	3900	-605	-1.7638	122
40	4000	-600	-1.7004	109
41	4100	-595	-1.6809	105
42	4200	-590	-1.6517	99
43	4300	-585	-1.6274	94
44	4400	-580	-1.5932	87
45	4500	-575	-1.5543	79
46	4600	-570	-1.5348	75
47	4700	-565	-1.5007	68
48	4800	-560	-1.4617	60
49	4900	-555	-1.4276	53
50	5000	-550	-1.3935	46
51	5100	-545	-1.3545	38
52	5200	-540	-1.3253	32
53	5300	-535	-1.2765	22
54	5400	-530	-1.2327	13
55	5500	-525	-1.1937	5
56	5600	-520	-1.1450	-5
57	5700	-515	-1.0719	-20
58	5800	-510	-1.0475	-25
59	5900	-505	-0.9891	-37
60	6000	-500	-0.9306	-49
61	6100	-495	-0.8478	-66
62	6200	-490	-0.7796	-80
63	6300	-485	-0.7114	-93
64	6400	-480	-0.6237	-111
65	6500	-475	-0.5067	-135
66	6600	-470	-0.4385	-149
67	6700	-465	-0.2923	-179
68	6800	-460	-0.1559	-207
69	6900	-455	0.0487	-249
70	7000	-450	0.1754	-275
71	7100	-445	0.3264	-306
72	7200	-440	0.5262	-347
73	7300	-435	0.7260	-388
74	7400	-430	0.9209	-428
75	7500	-425	1.1109	-467
76	7600	-420	1.3253	-511
77	7700	-415	1.7443	-597
78	7800	-410	1.9002	-629
79	7900	-405	2.2656	-704
80	8000	-400	2.5044	-753
81	8100	-395	3.0257	-860
82	8200	-390	3.2352	-903
83	8300	-385	3.6542	-989
84	8400	-380	4.1317	-1087
85	8500	-375	4.7359	-1211
86	8600	-370	5.1500	-1296
87	8700	-365	5.8322	-1436
88	8800	-360	6.1732	-1506
89	8900	-355	6.9625	-1667
90	9000	-350	7.4010	-1757
91	9100	-345	8.2245	-1926
92	9200	-340	8.4778	-1978
93	9300	-335	9.2964	-2146
94	9400	-330	9.4474	-2177
95	9500	-325	9.6131	-2211
96	9600	-320	9.5790	-2204
97	9700	-315	9.7349	-2237
98	9800	-310	9.6179	-2213
99	9900	-305	9.7154	-2233
100	10000	-300	9.6667	-2223
101	10100	-295	10.1442	-2321
102	10200	-290	10.1490	-2322
103	10300	-285	10.4024	-2374
104	10400	-280	10.6216	-2419
105	10500	-275	10.8653	-2469
106	10600	-270	10.8994	-2476
107	10700	-265	11.1820	-2534
108	10800	-260	11.0699	-2511
109	10900	-255	11.7715	-2655
110	11000	-250	11.4743	-2594
111	11100	-245	11.4012	-2579
112	11200	-240	11.2307	-2544
113	11300	-235	11.2502	-2548
114	11400	-230	10.9189	-2480
115	11500	-225	10.6655	-2428
116	11600	-220	10.3196	-2357
117	11700	-215	10.2855	-2350
118	11800	-210	9.8713	-2265
119	11900	-205	9.7398	-2238
120	12000	-200	9.5449	-2198
121	12100	-195	9.7203	-2234
122	12200	-190	9.4425	-2177
123	12300	-185	9.5790	-2205
124	12400	-180	9.3646	-2161
125	12500	-175	9.8080	-2252
126	12600	-170	9.6667	-2223
127	12700	-165	9.6862	-2227
128	12800	-160	9.6228	-2214
129	12900	-155	9.8518	-2261
130	13000	-150	9.6764	-2225
131	13100	-145	9.4523	-2179
132	13200	-140	8.4486	-1973
133	13300	-135	7.5277	-1784
134	13400	-130	6.7676	-1628
135	13500	-125	6.1294	-1497
136	13600	-120	5.5983	-1388
137	13700	-115	5.1452	-1295
138	13800	-110	4.7651	-1217
139	13900	-105	4.4241	-1147
140	14000	-100	4.1269	-1086
141	14100	-95	3.8881	-1037
142	14200	-90	3.6689	-992
143	14300	-85	3.4837	-954
144	14400	-80	3.3132	-919
145	14500	-75	3.1573	-887
146	14600	-70	3.0208	-859
147	14700	-65	2.9039	-834
148	14800	-60	2.7918	-811
149	14900	-55	2.7041	-793
150	15000	-50	2.6018	-772
151	15100	-45	2.5141	-754
152	15200	-40	2.4313	-737
153	15300	-35	2.3533	-721
154	15400	-30	2.2949	-709
155	15500	-25	2.2266	-695
156	15600	-20	2.1633	-682
157	15700	-15	2.1195	-673
158	15800	-10	2.0610	-661
159	15900	-5	2.0123	-651
160	16000	0	1.9684	-642
161	16100	5	2.1877	-688
162	16200	10	2.3046	-713
163	16300	15	2.4264	-738
164	16400	20	2.4995	-754
165	16500	25	2.6603	-787
166	16600	30	2.7382	-804
167	16700	35	2.8308	-824
168	16800	40	2.9039	-839
169	16900	45	3.0549	-871
170	17000	50	3.1183	-884
171	17100	55	3.2157	-905
172	17200	60	3.2791	-918
173	17300	65	3.4447	-952
174	17400	70	3.5081	-966
175	17500	75	3.6250	-990
176	17600	80	3.6786	-1002
177	17700	85	3.8296	-1033
178	17800	90	3.8930	-1047
179	17900	95	4.0099	-1071
180	18000	100	4.0879	-1087
181	18100	105	4.2925	-1130
182	18200	110	4.3705	-1146
183	18300	115	4.4874	-1170
184	18400	120	4.5702	-1188
185	18500	125	4.7603	-1227
186	18600	130	4.8528	-1247
187	18700	135	4.9990	-1277
188	18800	140	5.0964	-1298
189	18900	145	5.3303	-1346
190	19000	150	5.4180	-1365
191	19100	155	5.5934	-1401
192	19200	160	5.7104	-1426
193	19300	165	5.8955	-1464
194	19400	170	6.0222	-1490
195	19500	175	6.1830	-1524
196	19600	180	6.3145	-1551
197	19700	185	6.5386	-1597
198	19800	190	6.6605	-1623
199	19900	195	6.8602	-1664
200	20000	200	6.9869	-1691
201	20100	205	7.2549	-1746
202	20200	210	7.3767	-1771
203	20300	215	7.5618	-1810
204	20400	220	7.7031	-1839
205	20500	225	7.9809	-1896
206	20600	230	8.1221	-1926
207	20700	235	8.3219	-1967
208	20800	240	8.4583	-1995
209	20900	245	8.7068	-2047
210	21000	250	8.8627	-2079
211	21100	255	9.0528	-2119
212	21200	260	9.1794	-2145
213	21300	265	9.5108	-2214
214	21400	270	9.6423	-2241
215	21500	275	9.8275	-2280
216	21600	280	9.9688	-2309
217	21700	285	10.2221	-2362
218	21800	290	10.3537	-2389
219	21900	295	10.5339	-2426
220	22000	300	10.6509	-2451
221	22100	305	10.9286	-2508
222	22200	310	11.0309	-2529
223	22300	315	11.2063	-2566
224	22400	320	11.3184	-2589
225	22500	325	11.5035	-2628
226	22600	330	11.6107	-2650
227	22700	335	11.7861	-2686
228	22800	340	11.8690	-2704
229	22900	345	12.0882	-2749
230	23000	350	12.1759	-2768
231	23100	355	12.3318	-2800
232	23200	360	12.4147	-2818
233	23300	365	12.5998	-2856
234	23400	370	12.6729	-2872
235	23500	375	12.7021	-2902
236	23600	380	12.1369	-2909
237	23700	385	11.7813	-2958
238	23800	390	11.2502	-2971
239	23900	395	10.7824	-2997
240	24000	400	10.2367	-3007
241	24100	405	9.8177	-3043
242	24200	410	9.2720	-3053
243	24300	415	8.7848	-3076
244	24400	420	8.6776	-3084
245	24500	425	8.8627	-3131
246	24600	430	8.8725	-3141
247	24700	435	8.9261	-3160
248	24800	440	8.9163	-3166
249	24900	445	9.0430	-3200
250	25000	450	9.0430	-3208
251	25100	455	9.0917	-3226
252	25200	460	8.3901	-3228
253	25300	465	6.8846	-3271
254	25400	470	5.1988	-3277
255	25500	475	3.5665	-3294
256	25600	480	1.8710	-3298
257	25700	485	0.2728	-3322
258	25800	490	-1.4227	-3326
259	25900	495	-3.0842	-3337
260	0	500	-4.8187	-3333
261	100	495	-4.0733	-3134
262	200	490	-3.2303	-2955
263	300	485	-2.2413	-2806
264	400	480	-1.3107	-2645
265	500	475	-0.1998	-2521
266	600	470	0.8624	-2387
267	700	465	2.0415	-2277
268	800	460	3.0549	-2133
269	900	455	3.3424	-2046
270	1000	450	2.8698	-1941
271	1100	445	2.4703	-1851
272	1200	440	2.0074	-1748
273	1300	435	1.6858	-1674
274	1400	430	1.3253	-1592
275	1500	425	1.0475	-1527
276	1600	420	0.6139	-1429
277	1700	415	0.5116	-1378
278	1800	410	0.7991	-1314
279	1900	405	1.1304	-1260
280	2000	400	1.3886	-1191
281	2100	395	1.7881	-1151
282	2200	390	2.1195	-1097
283	2300	385	2.5092	-1055
284	2400	380	2.8065	-994
285	2500	375	3.2645	-965
286	2600	370	3.1767	-923
287	2700	365	3.0257	-891
288	2800	360	2.7870	-842
289	2900	355	2.6749	-818
290	3000	350	2.5092	-784
291	3100	345	2.3923	-759
292	3200	340	2.1925	-718
293	3300	335	2.1292	-704
294	3400	330	1.9782	-673
295	3500	325	1.9002	-657
296	3600	320	1.7394	-623
297	3700	315	1.6663	-608
298	3800	310	1.5640	-586
299	3900	305	1.4666	-566
300	4000	300	1.3399	-540
301	4100	295	1.3058	-532
302	4200	290	1.2181	-514
303	4300	285	1.1450	-499
304	4400	280	1.0378	-476
305	4500	275	0.9988	-468
306	4600	270	0.9404	-455
307	4700	265	0.9014	-447
308	4800	260	0.7601	-417
309	4900	255	0.7796	-421
310	5000	250	0.7162	-407
311	5100	245	0.6919	-402
312	5200	240	0.6042	-383
313	5300	235	0.6090	-384
314	5400	230	0.5408	-370
315	5500	225	0.5116	-363
316	5600	220	0.4239	-345
317	5700	215	0.4336	-347
318	5800	210	0.4044	-340
319	5900	205	0.3654	-332
320	6000	200	0.3118	-321
321	6100	195	0.3167	-321
322	6200	190	0.2728	-312
323	6300	185	0.2631	-309
