File : 		4.7_5_1
UID : 		394804000a4ffa

Setting
Strip Type : 		customise
Current Range : 		20.0		uA
Sweep Rate : 		0.05		Vps
Step size : 		5		mV
Step time : 		100		ms
V Start : 		-0.8		V
V Mid : 		0.5		V
V End : 		-0.8		V
Loop : 		3
Next time to scan : 		5

Offset
index 	 I (uA) 	 HEX 
0	-800	-249
1	-758	-248
2	-716	-247
3	-674	-245
4	-632	-244
5	-590	-244
6	-548	-243
7	-506	-243
8	-465	-243
9	-423	-242
10	-381	-241
11	-339	-241
12	-297	-240
13	-255	-240
14	-213	-240
15	-171	-239
16	-129	-239
17	-87	-239
18	-45	-238
19	-3	-238
20	39	-243
21	81	-245
22	123	-248
23	165	-250
24	206	-252
25	248	-254
26	290	-256
27	332	-259
28	374	-261
29	416	-263
30	458	-265
31	500	-267

Conversion
index 	 sampling time(ms) 	 V (mV) 	 I(uA) 	 HEX 
0	0	-800	-13.9494	2614
1	100	-795	-13.4330	2508
2	200	-790	-12.9652	2412
3	300	-785	-13.9689	2618
4	400	-780	-14.3002	2686
5	500	-775	-14.0176	2629
6	600	-770	-13.7204	2568
7	700	-765	-13.4037	2503
8	800	-760	-13.0822	2437
9	900	-755	-12.7119	2361
10	1000	-750	-12.3952	2296
11	1100	-745	-12.0541	2226
12	1200	-740	-11.7813	2170
13	1300	-735	-11.4451	2102
14	1400	-730	-11.1966	2051
15	1500	-725	-10.9773	2006
16	1600	-720	-10.9335	1997
17	1700	-715	-10.8019	1970
18	1800	-710	-10.6460	1938
19	1900	-705	-10.4316	1895
20	2000	-700	-10.7191	1954
21	2100	-695	-10.8604	1983
22	2200	-690	-10.9773	2007
23	2300	-685	-10.9189	1995
24	2400	-680	-10.6947	1950
25	2500	-675	-10.1685	1842
26	2600	-670	-9.7836	1763
27	2700	-665	-9.2135	1646
28	2800	-660	-8.7409	1549
29	2900	-655	-8.0052	1398
30	3000	-650	-7.3523	1265
31	3100	-645	-6.6117	1113
32	3200	-640	-5.8565	958
33	3300	-635	-5.0428	791
34	3400	-630	-4.3607	651
35	3500	-625	-3.6250	500
36	3600	-620	-3.1183	396
37	3700	-615	-2.3582	240
38	3800	-610	-2.1195	191
39	3900	-605	-1.8758	141
40	4000	-600	-1.7784	121
41	4100	-595	-1.6663	98
42	4200	-590	-1.8612	138
43	4300	-585	-2.0951	186
44	4400	-580	-2.4118	251
45	4500	-575	-2.6895	308
46	4600	-570	-3.0501	382
47	4700	-565	-3.2498	424
48	4800	-560	-3.4106	457
49	4900	-555	-3.4496	465
50	5000	-550	-3.4642	468
51	5100	-545	-3.4252	460
52	5200	-540	-3.3814	451
53	5300	-535	-3.2255	419
54	5400	-530	-3.1329	400
55	5500	-525	-3.0452	382
